baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	refseq_id	refseq_mrna	external_gene_name	ensembl_gene_id
XM_039110689.1	8.39946383859107	6.56349774191156	1.70212312247428	3.8560652018936	0.000115226765849347	0.0209247512617227	XM_039110689	NA	NA	NA
XM_039111705.1	745.058301146702	0.655328510717488	0.169630208632078	3.86327716037227	0.000111875950251137	0.0205073176018338	XM_039111705	NA	NA	NA
XM_039111786.1	41.47129263821	8.87088466323351	2.4487507118872	3.62261647139937	0.000291638074235983	0.038889002140742	XM_039111786	NA	NA	NA
XM_039111988.1	5.55235896206583	5.97007218436546	1.55325109465603	3.84359760305693	0.00012124374729229	0.0215489570795421	XM_039111988	NA	NA	NA
XM_039112349.1	8.08709989653203	5.32019953169596	1.50444081211273	3.53633023570042	0.000405727172172725	0.0471006499070864	XM_039112349	NA	NA	NA
XR_001836129.2	282.925627229984	2.82907177459103	0.777697746535283	3.63775231083646	0.000275027720533703	0.0372267845613142	XR_001836129	NA	NA	NA
XR_005488216.1	5.51473169473556	5.96388629613361	1.24341021110732	4.79639482035655	1.6154671967988e-06	0.000954169988541543	XR_005488216	NA	NA	NA
XR_005489048.1	12.9172068294331	7.18661075682887	1.7376552833098	4.13580922859463	3.5370595172325e-05	0.00931648730678617	XR_005489048	NA	NA	NA
XR_005489159.1	7.46983977520964	6.39604395978334	1.74205716645652	3.6715465387358	0.000241087165390841	0.0340802045400805	XR_005489159	NA	NA	NA
XR_005489446.1	62.1599600598987	0.66469652565537	0.171694194162939	3.87139780058358	0.000108213026474789	0.0199546873523596	XR_005489446	NA	NA	NA
XR_005491215.1	6.72793640251833	4.06112904188429	1.05499533752319	3.8494284263081	0.000118393771549294	0.0211711235399799	XR_005491215	NA	NA	NA
XR_005495822.1	18.9441992309446	7.74099080687336	1.77454635225546	4.36223646513067	1.28739614248449e-05	0.00456237588094776	XR_005495822	NA	NA	NA
XR_005496390.1	185.846272424783	0.588987126112977	0.152165230859765	3.870707669453	0.000108519864863877	0.0199546873523596	XR_005496390	NA	NA	NA
XR_005503128.1	75072.4652813375	2.49827003067237	0.614752484330505	4.06386325285551	4.82671104783076e-05	0.0115987444422638	XR_005503128	NA	NA	NA
XR_005504491.1	9.82667364585403	6.7928061731309	1.70589251110409	3.98196611387575	6.83475260032999e-05	0.0143760907752409	XR_005504491	NA	NA	NA
XR_005505580.1	10.0165829753394	6.82128196507865	1.70689035312048	3.99632111846447	6.43344533068373e-05	0.0137798271892454	XR_005505580	NA	NA	NA
XR_005506053.1	9.92460733982341	6.80763701192468	1.70253238837751	3.99853597993061	6.37354934240736e-05	0.0137522850275988	XR_005506053	NA	NA	NA
XR_005506103.1	104.326713537929	1.51855940561376	0.409016676865469	3.71270779776354	0.000205053581095316	0.0302785431842614	XR_005506103	NA	NA	NA
XR_358008.2	14.0023791357571	4.57834086196855	1.28777961045607	3.55522080392865	0.000377661793769464	0.045252860100155	XR_358008	NA	NA	NA
