"TXNAME"	"GENEID"
"ENSRNOT00000109575"	"ENSRNOG00000067329"
"ENSRNOT00000111551"	"ENSRNOG00000067329"
"ENSRNOT00000112432"	"ENSRNOG00000067329"
"ENSRNOT00000106444"	"ENSRNOG00000067915"
"ENSRNOT00000038523"	"ENSRNOG00000026096"
"ENSRNOT00000043157"	"ENSRNOG00000062917"
"ENSRNOT00000061221"	"ENSRNOG00000062468"
"ENSRNOT00000021529"	"ENSRNOG00000016089"
"ENSRNOT00000118520"	"ENSRNOG00000063281"
"ENSRNOT00000022184"	"ENSRNOG00000016411"
"ENSRNOT00000115390"	"ENSRNOG00000016411"
"ENSRNOT00000118437"	"ENSRNOG00000016411"
"ENSRNOT00000083652"	"ENSRNOG00000057952"
"ENSRNOT00000077255"	"ENSRNOG00000061678"
"ENSRNOT00000084929"	"ENSRNOG00000054517"
"ENSRNOT00000022362"	"ENSRNOG00000016627"
"ENSRNOT00000102230"	"ENSRNOG00000016627"
"ENSRNOT00000116083"	"ENSRNOG00000016627"
"ENSRNOT00000113193"	"ENSRNOG00000016627"
"ENSRNOT00000022798"	"ENSRNOG00000016700"
"ENSRNOT00000116875"	"ENSRNOG00000066988"
"ENSRNOT00000014805"	"ENSRNOG00000011114"
"ENSRNOT00000115485"	"ENSRNOG00000066988"
"ENSRNOT00000106465"	"ENSRNOG00000071111"
"ENSRNOT00000100154"	"ENSRNOG00000071111"
"ENSRNOT00000104822"	"ENSRNOG00000071111"
"ENSRNOT00000118474"	"ENSRNOG00000071111"
"ENSRNOT00000110198"	"ENSRNOG00000067483"
"ENSRNOT00000016518"	"ENSRNOG00000012122"
"ENSRNOT00000092830"	"ENSRNOG00000012122"
"ENSRNOT00000106129"	"ENSRNOG00000067152"
"ENSRNOT00000047224"	"ENSRNOG00000029608"
"ENSRNOT00000075427"	"ENSRNOG00000029608"
"ENSRNOT00000087419"	"ENSRNOG00000057890"
"ENSRNOT00000017831"	"ENSRNOG00000013323"
"ENSRNOT00000094990"	"ENSRNOG00000021478"
"ENSRNOT00000078841"	"ENSRNOG00000021478"
"ENSRNOT00000030327"	"ENSRNOG00000021478"
"ENSRNOT00000096217"	"ENSRNOG00000021478"
"ENSRNOT00000107523"	"ENSRNOG00000021478"
"ENSRNOT00000116457"	"ENSRNOG00000021478"
"ENSRNOT00000114799"	"ENSRNOG00000021478"
"ENSRNOT00000018718"	"ENSRNOG00000013364"
"ENSRNOT00000018849"	"ENSRNOG00000014004"
"ENSRNOT00000097027"	"ENSRNOG00000014004"
"ENSRNOT00000098212"	"ENSRNOG00000014004"
"ENSRNOT00000119710"	"ENSRNOG00000014004"
"ENSRNOT00000097952"	"ENSRNOG00000014004"
"ENSRNOT00000113452"	"ENSRNOG00000014190"
"ENSRNOT00000094070"	"ENSRNOG00000014190"
"ENSRNOT00000019047"	"ENSRNOG00000014190"
"ENSRNOT00000109371"	"ENSRNOG00000014190"
"ENSRNOT00000088885"	"ENSRNOG00000014190"
"ENSRNOT00000019436"	"ENSRNOG00000014240"
"ENSRNOT00000083276"	"ENSRNOG00000014240"
"ENSRNOT00000119673"	"ENSRNOG00000070696"
"ENSRNOT00000100237"	"ENSRNOG00000070767"
"ENSRNOT00000065677"	"ENSRNOG00000042944"
"ENSRNOT00000091770"	"ENSRNOG00000060033"
"ENSRNOT00000015395"	"ENSRNOG00000011568"
"ENSRNOT00000015421"	"ENSRNOG00000011588"
"ENSRNOT00000110925"	"ENSRNOG00000011588"
"ENSRNOT00000119984"	"ENSRNOG00000011588"
"ENSRNOT00000092105"	"ENSRNOG00000061741"
"ENSRNOT00000087505"	"ENSRNOG00000054845"
"ENSRNOT00000016989"	"ENSRNOG00000012581"
"ENSRNOT00000081216"	"ENSRNOG00000051400"
"ENSRNOT00000103856"	"ENSRNOG00000063986"
"ENSRNOT00000101357"	"ENSRNOG00000064947"
"ENSRNOT00000034704"	"ENSRNOG00000028357"
"ENSRNOT00000018336"	"ENSRNOG00000013331"
"ENSRNOT00000114225"	"ENSRNOG00000013331"
"ENSRNOT00000114407"	"ENSRNOG00000014485"
"ENSRNOT00000019735"	"ENSRNOG00000014485"
"ENSRNOT00000102729"	"ENSRNOG00000014485"
"ENSRNOT00000098530"	"ENSRNOG00000014485"
"ENSRNOT00000019806"	"ENSRNOG00000014721"
"ENSRNOT00000077740"	"ENSRNOG00000039776"
"ENSRNOT00000020251"	"ENSRNOG00000039776"
"ENSRNOT00000020780"	"ENSRNOG00000015465"
"ENSRNOT00000103045"	"ENSRNOG00000070270"
"ENSRNOT00000081471"	"ENSRNOG00000015810"
"ENSRNOT00000021532"	"ENSRNOG00000015810"
"ENSRNOT00000112286"	"ENSRNOG00000015810"
"ENSRNOT00000119209"	"ENSRNOG00000016103"
"ENSRNOT00000021898"	"ENSRNOG00000016103"
"ENSRNOT00000118428"	"ENSRNOG00000016103"
"ENSRNOT00000036714"	"ENSRNOG00000026501"
"ENSRNOT00000089941"	"ENSRNOG00000016253"
"ENSRNOT00000113926"	"ENSRNOG00000016253"
"ENSRNOT00000022346"	"ENSRNOG00000016253"
"ENSRNOT00000096395"	"ENSRNOG00000016253"
"ENSRNOT00000028988"	"ENSRNOG00000062531"
"ENSRNOT00000118645"	"ENSRNOG00000062531"
"ENSRNOT00000072206"	"ENSRNOG00000062531"
"ENSRNOT00000044690"	"ENSRNOG00000033609"
"ENSRNOT00000022790"	"ENSRNOG00000016812"
"ENSRNOT00000099989"	"ENSRNOG00000023053"
"ENSRNOT00000112308"	"ENSRNOG00000023053"
"ENSRNOT00000061873"	"ENSRNOG00000023053"
"ENSRNOT00000119576"	"ENSRNOG00000023053"
"ENSRNOT00000094921"	"ENSRNOG00000063252"
"ENSRNOT00000023010"	"ENSRNOG00000017095"
"ENSRNOT00000098392"	"ENSRNOG00000069973"
"ENSRNOT00000118128"	"ENSRNOG00000069973"
"ENSRNOT00000041762"	"ENSRNOG00000034075"
"ENSRNOT00000023659"	"ENSRNOG00000017601"
"ENSRNOT00000023712"	"ENSRNOG00000017613"
"ENSRNOT00000047627"	"ENSRNOG00000032150"
"ENSRNOT00000099050"	"ENSRNOG00000032150"
"ENSRNOT00000095881"	"ENSRNOG00000070882"
"ENSRNOT00000061790"	"ENSRNOG00000017826"
"ENSRNOT00000024041"	"ENSRNOG00000017826"
"ENSRNOT00000094903"	"ENSRNOG00000017826"
"ENSRNOT00000087608"	"ENSRNOG00000058041"
"ENSRNOT00000115968"	"ENSRNOG00000068667"
"ENSRNOT00000120310"	"ENSRNOG00000067171"
"ENSRNOT00000100686"	"ENSRNOG00000070839"
"ENSRNOT00000098724"	"ENSRNOG00000068976"
"ENSRNOT00000117023"	"ENSRNOG00000063413"
"ENSRNOT00000094001"	"ENSRNOG00000067477"
"ENSRNOT00000094461"	"ENSRNOG00000066818"
"ENSRNOT00000106846"	"ENSRNOG00000066818"
"ENSRNOT00000094374"	"ENSRNOG00000066818"
"ENSRNOT00000095253"	"ENSRNOG00000066818"
"ENSRNOT00000079790"	"ENSRNOG00000066818"
"ENSRNOT00000104389"	"ENSRNOG00000071202"
"ENSRNOT00000110642"	"ENSRNOG00000016368"
"ENSRNOT00000022046"	"ENSRNOG00000016368"
"ENSRNOT00000021895"	"ENSRNOG00000016286"
"ENSRNOT00000021471"	"ENSRNOG00000016011"
"ENSRNOT00000026564"	"ENSRNOG00000019582"
"ENSRNOT00000083133"	"ENSRNOG00000055235"
"ENSRNOT00000060767"	"ENSRNOG00000019549"
"ENSRNOT00000083702"	"ENSRNOG00000019549"
"ENSRNOT00000026482"	"ENSRNOG00000019549"
"ENSRNOT00000099245"	"ENSRNOG00000019549"
"ENSRNOT00000026367"	"ENSRNOG00000019489"
"ENSRNOT00000092809"	"ENSRNOG00000019489"
"ENSRNOT00000093943"	"ENSRNOG00000019489"
"ENSRNOT00000093126"	"ENSRNOG00000019489"
"ENSRNOT00000035962"	"ENSRNOG00000024280"
"ENSRNOT00000093108"	"ENSRNOG00000024280"
"ENSRNOT00000114176"	"ENSRNOG00000019358"
"ENSRNOT00000026350"	"ENSRNOG00000019358"
"ENSRNOT00000078494"	"ENSRNOG00000019358"
"ENSRNOT00000088168"	"ENSRNOG00000019358"
"ENSRNOT00000082133"	"ENSRNOG00000019358"
"ENSRNOT00000098680"	"ENSRNOG00000019358"
"ENSRNOT00000112253"	"ENSRNOG00000019358"
"ENSRNOT00000081017"	"ENSRNOG00000019358"
"ENSRNOT00000117998"	"ENSRNOG00000019358"
"ENSRNOT00000111868"	"ENSRNOG00000019358"
"ENSRNOT00000084994"	"ENSRNOG00000052241"
"ENSRNOT00000025616"	"ENSRNOG00000018858"
"ENSRNOT00000025477"	"ENSRNOG00000018808"
"ENSRNOT00000093104"	"ENSRNOG00000018808"
"ENSRNOT00000092879"	"ENSRNOG00000018808"
"ENSRNOT00000082750"	"ENSRNOG00000059321"
"ENSRNOT00000082714"	"ENSRNOG00000055161"
"ENSRNOT00000119640"	"ENSRNOG00000070385"
"ENSRNOT00000100751"	"ENSRNOG00000068142"
"ENSRNOT00000092578"	"ENSRNOG00000018191"
"ENSRNOT00000083308"	"ENSRNOG00000018191"
"ENSRNOT00000079628"	"ENSRNOG00000018191"
"ENSRNOT00000089428"	"ENSRNOG00000018191"
"ENSRNOT00000086685"	"ENSRNOG00000018191"
"ENSRNOT00000024682"	"ENSRNOG00000018191"
"ENSRNOT00000092034"	"ENSRNOG00000018191"
"ENSRNOT00000088253"	"ENSRNOG00000018191"
"ENSRNOT00000098234"	"ENSRNOG00000065637"
"ENSRNOT00000095931"	"ENSRNOG00000065637"
