baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	refseq_id	refseq_mrna	external_gene_name	ensembl_gene_id
XM_006236422.3	115.5786906606	-0.536491894335985	0.136022504799444	-3.94414067824295	8.0086636709864e-05	0.016148227568871	XM_006236422	NA	NA	NA
XM_006236434.4	18.371054865405	-7.58960570819682	1.85499705552057	-4.09143814304704	4.28706302042779e-05	0.0105772878926791	XM_006236434	NA	NA	NA
XM_006237939.4	68.3952443835476	-9.48426735581177	2.48390823129276	-3.81828412029362	0.000134383106566803	0.0228427842249628	XM_006237939	NA	NA	NA
XM_006238012.4	41.9515114832131	-8.77971476473188	1.76089651946551	-4.9859345325964	6.16630233369629e-07	0.000405307325981737	XM_006238012	NA	NA	NA
XM_006238138.4	532.397607566356	-0.856545342307566	0.211689742282627	-4.04622979399726	5.20491408914366e-05	0.0120297291086398	XM_006238138	NA	NA	NA
XM_006238571.3	49.9539631355915	-6.99294499628169	1.83701970367904	-3.8066793634694	0.000140845155515667	0.0234637596114618	XM_006238571	NA	NA	NA
XM_006238625.4	258.566567032903	-1.33100843202907	0.370829441678992	-3.58927388829405	0.000331600308303228	0.0417887854045753	XM_006238625	NA	NA	NA
XM_006238923.4	16.1677564976062	-7.40582469333664	1.678393011118	-4.41244967315703	1.02207557396677e-05	0.00386168644798705	XM_006238923	NA	NA	NA
XM_006239124.3	336.968073882296	-0.621360161909225	0.148387645410598	-4.18741169583142	2.82153742258018e-05	0.00812296304005735	XM_006239124	NA	NA	NA
XM_006239297.4	21.5041449481171	-7.81514610793107	1.77113153294926	-4.41251593263511	1.02176272817448e-05	0.00386168644798705	XM_006239297	NA	NA	NA
XM_006239385.4	26.7518266026457	-8.13412203886262	1.77539738426711	-4.58157824887212	4.61479866530745e-06	0.0021938677817495	XM_006239385	NA	NA	NA
XM_006240754.4	69.6847648790043	-0.751705173421501	0.172956577257265	-4.34620750099243	1.38511545072413e-05	0.00476430828621427	XM_006240754	NA	NA	NA
XM_006240870.4	6.50966705220204	-6.09570461212193	1.21476389365562	-5.01801596504319	5.22078394450087e-07	0.000363428714727076	XM_006240870	NA	NA	NA
XM_006240970.4	17.2067003271174	-7.49631533160126	1.27258406431765	-5.89062486462984	3.84738036077642e-09	5.35646950514382e-06	XM_006240970	NA	NA	NA
XM_006242079.4	64.3952752209539	-2.07610328102367	0.3037518008989	-6.83486739792096	8.20809163795966e-12	2.08678239320893e-08	XM_006242079	NA	NA	NA
XM_006242228.4	30.8817439876212	-1.89011723720655	0.382370299496955	-4.94315913054227	7.68666910222248e-07	0.000478159882003572	XM_006242228	NA	NA	NA
XM_006242383.4	8.8090998304411	-6.52886157943191	1.66693821957062	-3.91667879635855	8.97772377496636e-05	0.0174987806672461	XM_006242383	NA	NA	NA
XM_006248707.4	279.720280033217	-0.541376125366033	0.137223423131882	-3.94521658919505	7.97278805827498e-05	0.016148227568871	XM_006248707	NA	NA	NA
XM_006249861.4	19.0228894145732	-7.63883119177581	1.70682813650573	-4.47545422318514	7.62490350223744e-06	0.00313984934781572	XM_006249861	NA	NA	NA
XM_006250926.4	201.280308309042	-0.548097560935647	0.155211792104156	-3.53128814186904	0.000413540991246608	0.04760339530241	XM_006250926	NA	NA	NA
XM_006251758.3	7.97505302777569	-6.3861896013666	1.76597956195209	-3.61623075315061	0.000298923929371655	0.0392792760586026	XM_006251758	NA	NA	NA
XM_006252113.4	149.22367518806	-1.18153416760971	0.322495015398849	-3.66372846460412	0.00024857029771977	0.0346069037830138	XM_006252113	NA	NA	NA
XM_006252397.4	23.5334571102172	-7.9449339849783	1.10114851605014	-7.21513389808406	5.38809321892102e-13	1.57531681441594e-09	XM_006252397	NA	NA	NA
XM_006252669.2	61.267712071335	-9.32693076453612	2.49256169160735	-3.74190568519954	0.000182630060766993	0.0279741102046338	XM_006252669	NA	NA	NA
XM_006253671.4	989.275408948298	-0.83533935786212	0.184668530164743	-4.52345268095713	6.08389259829424e-06	0.00265484728203475	XM_006253671	NA	NA	NA
XM_006254829.4	846.385271968709	-0.53273720003426	0.140072555339989	-3.8032946478429	0.000142784358772358	0.023585233318799	XM_006254829	NA	NA	NA
XM_008759111.3	165.617900378806	-1.13945851176307	0.250102993311382	-4.5559571146133	5.21475759969241e-06	0.00238224793659698	XM_008759111	NA	NA	NA
XM_008762177.3	28.3433916074392	-22.9773619156355	3.02735851540617	-7.58990446579226	3.20141436647617e-14	1.80290546740018e-10	XM_008762177	NA	NA	NA
XM_008764782.3	22.7967728562606	-5.44395080245601	1.50634474981442	-3.61401385912933	0.000301492934926414	0.039439592565743	XM_008764782	NA	NA	NA
XM_008765869.2	64.3988272980812	-1.43341113357112	0.362149577805641	-3.95806379854571	7.55597778947944e-05	0.0156676682717029	XM_008765869	NA	NA	NA
XM_008767006.3	38.9583870667929	-4.54101444259408	1.17870735332207	-3.85253763777386	0.000116900001010235	0.0210639174660273	XM_008767006	NA	NA	NA
XM_008768768.3	53.082508707894	-0.926531790441814	0.246705495075119	-3.75561878003446	0.0001729137279466	0.026939620618379	XM_008768768	NA	NA	NA
XM_008771258.3	19.8791718896345	-7.70136137602417	1.72358513831737	-4.46822219849408	7.8872355738734e-06	0.00320171491764236	XM_008771258	NA	NA	NA
XM_017590633.2	15.6785950451176	-7.36112490094251	1.65323151050714	-4.45256750440501	8.48495522680354e-06	0.00334890880776892	XM_017590633	NA	NA	NA
XM_017590988.2	54.8514145752763	-9.16668427821508	2.48949162594847	-3.68215107962963	0.000231274280576014	0.0333091928137977	XM_017590988	NA	NA	NA
XM_017591614.2	15.5716493049251	-7.35050222556379	1.75047275914823	-4.19915259300608	2.67915735397656e-05	0.00779408194609082	XM_017591614	NA	NA	NA
